"","year","state","DEMOCRAT","REPUBLICAN","total"
"568",1988,"WASHINGTON",933516,903835,1837351
"569",1992,"WASHINGTON",993037,731234,1724271
"570",1996,"WASHINGTON",1123323,840712,1964035
"571",2000,"WASHINGTON",1247652,1108864,2356516
"572",2004,"WASHINGTON",1510201,1304894,2815095
"573",2008,"WASHINGTON",1750848,1229216,2980064
"574",2012,"WASHINGTON",1755396,1290670,3046066
"575",2016,"WASHINGTON",1742718,1221747,2964465
"576",2020,"WASHINGTON",2369612,1584651,3954263
"577",1976,"WEST VIRGINIA",435864,314726,750590
"578",1980,"WEST VIRGINIA",367462,334206,701668
"579",1984,"WEST VIRGINIA",328125,405483,733608
"580",1988,"WEST VIRGINIA",341016,310065,651081
"581",1992,"WEST VIRGINIA",331001,241974,572975
"582",1996,"WEST VIRGINIA",327812,233946,561758
"583",2000,"WEST VIRGINIA",295497,336475,631972
"584",2004,"WEST VIRGINIA",326541,423778,750319
"585",2008,"WEST VIRGINIA",303857,397466,701323
"586",2012,"WEST VIRGINIA",238269,417655,655924
"587",2016,"WEST VIRGINIA",188794,489371,678165
"588",2020,"WEST VIRGINIA",235984,545382,781366
"589",1976,"WISCONSIN",1040232,1004987,2045219
"590",1980,"WISCONSIN",981584,1088845,2070429
"591",1984,"WISCONSIN",995740,1198584,2194324
"592",1988,"WISCONSIN",1126794,1047499,2174293
"593",1992,"WISCONSIN",1041066,930855,1971921
"594",1996,"WISCONSIN",1071971,845029,1917000
"595",2000,"WISCONSIN",1242987,1237279,2480266
"596",2004,"WISCONSIN",1489504,1478120,2967624
"597",2008,"WISCONSIN",1677211,1262393,2939604
"598",2012,"WISCONSIN",1620985,1410966,3031951
"599",2016,"WISCONSIN",1382536,1405284,2787820
"600",2020,"WISCONSIN",1630866,1610184,3241050
"601",1976,"WYOMING",62239,92717,154956
"602",1980,"WYOMING",49427,110700,160127
"603",1984,"WYOMING",53370,133241,186611
"604",1988,"WYOMING",67113,106867,173980
"605",1992,"WYOMING",68160,79347,147507
"606",1996,"WYOMING",77934,105388,183322
"607",2000,"WYOMING",60481,147947,208428
"608",2004,"WYOMING",70776,167629,238405
"609",2008,"WYOMING",82868,164958,247826
"610",2012,"WYOMING",69286,170962,240248
"611",2016,"WYOMING",55973,174419,230392
"612",2020,"WYOMING",73491,193559,267050
